z,n_spots,image_filename
1,1,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
2,1,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
3,2,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
4,2,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
5,3,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
6,3,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
7,3,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
8,4,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
9,3,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
10,2,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
11,2,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
12,1,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
13,0,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
14,0,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
