x,y,z,sum_intensity_in_photons,bg_per_punctum,bg_per_pixel,zi,zf,overlap_with_bulk_stain,image_filename
11.0,147.0,10.0,89.7381820678711,1088.054443359375,18.134241104125977,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
11.0,898.0,10.0,153.9158935546875,1572.1588134765625,26.202646255493164,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
11.0,974.0,10.0,143.56324768066406,1273.394287109375,21.223237991333008,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
14.0,1117.0,10.0,346.7122497558594,1360.6060791015625,22.676767349243164,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
13.0,474.0,10.0,339.9828796386719,1330.8211669921875,22.18035316467285,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
15.0,60.0,10.0,210.0382080078125,1120.3856201171875,18.673093795776367,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
15.0,597.0,10.0,336.1493835449219,1372.0986328125,22.868310928344727,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
16.0,773.0,10.0,289.0931091308594,1515.49658203125,25.258275985717773,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
16.0,807.0,10.0,204.34483337402344,1453.7489013671875,24.229148864746094,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
17.0,433.0,10.0,395.39849853515625,1744.228759765625,29.070480346679688,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
19.0,94.0,10.0,373.8273620605469,981.6223754882812,16.36037254333496,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
19.0,177.0,10.0,466.889404296875,1041.960205078125,17.366003036499023,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
19.0,271.0,10.0,279.1544494628906,1235.6839599609375,20.5947322845459,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
19.0,317.0,10.0,201.5328826904297,1104.6495361328125,18.410825729370117,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
20.0,537.0,10.0,249.23631286621094,1520.107421875,25.33512306213379,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
20.0,702.0,10.0,177.14466857910156,1104.7867431640625,18.41311264038086,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
21.0,493.0,10.0,182.06155395507812,1346.5391845703125,22.442319869995117,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
21.0,556.0,10.0,190.6189727783203,1292.4737548828125,21.541229248046875,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
22.0,366.0,10.0,120.93143463134766,1129.689697265625,18.828161239624023,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
22.0,712.0,10.0,148.78407287597656,1490.325927734375,24.83876609802246,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
22.0,818.0,10.0,215.5992889404297,1412.817138671875,23.546951293945312,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
22.0,906.0,10.0,394.7597961425781,1537.82080078125,25.630346298217773,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
24.0,633.0,10.0,239.75686645507812,1289.725341796875,21.49542236328125,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
25.0,485.0,10.0,170.27821350097656,1295.1202392578125,21.585336685180664,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
26.0,120.0,10.0,334.12091064453125,835.467041015625,13.924450874328613,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
27.0,429.0,10.0,510.3981628417969,1603.0201416015625,26.717002868652344,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
27.0,498.0,10.0,174.645751953125,1660.5028076171875,27.675046920776367,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
27.0,671.0,10.0,108.8097915649414,1444.0386962890625,24.067312240600586,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
