z,n_spots,image_filename
1,3253,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
2,3493,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
3,3667,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
4,3791,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
5,3969,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
6,4165,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
7,4296,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
8,4373,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
9,4467,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
10,4544,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
11,4619,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
12,4699,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
13,4499,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
14,2722,/home/jbeckwith/Documents/Cambridge University Dropbox/Joseph Beckwith/Chemistry/Lee/Code/Python/pyRASP/example_images/Example_ProteinImage_C1.tif
